Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
WS,A1 LM,CHURCHMAN BIBLE,2963.5,47.0,0.823,5.742,10.713,3.248,2,0.207
WS,A1 LM,CHURCHMAN BIBLE,2964.0,50.469,0.805,6.166,10.68,3.141,2,0.196
WS,A1 LM,CHURCHMAN BIBLE,2964.5,53.844,0.788,5.791,10.078,3.162,2,0.185
WS,A1 LM,CHURCHMAN BIBLE,2965.0,55.313,0.787,4.743,9.369,3.041,2,0.174
SiSh,A1 LM,CHURCHMAN BIBLE,2965.5,60.563,0.795,3.853,8.94,3.074,2,0.163
SiSh,A1 LM,CHURCHMAN BIBLE,2966.0,67.75,0.816,2.991,9.558,2.994,2,0.152
SiSh,A1 LM,CHURCHMAN BIBLE,2966.5,72.313,0.855,3.365,10.16,3.098,2,0.141
SiSh,A1 LM,CHURCHMAN BIBLE,2967.0,73.313,0.905,3.429,9.657,3.234,2,0.13
SiSh,A1 LM,CHURCHMAN BIBLE,2967.5,73.375,0.952,2.949,8.037,3.74,2,0.12
SiSh,A1 LM,CHURCHMAN BIBLE,2968.0,70.063,1.008,2.203,5.805,4.242,2,0.109
PS,A1 LM,CHURCHMAN BIBLE,2968.5,70.063,1.008,2.203,5.805,4.242,2,0.109
WS,A1 LM,CHURCHMAN BIBLE,2969.0,64.313,1.05,1.187,3.988,4.984,2,0.098
WS,A1 LM,CHURCHMAN BIBLE,2969.5,60.75,1.091,1.124,3.124,5.223,2,0.087
WS,A1 LM,CHURCHMAN BIBLE,2970.0,55.25,1.167,0.723,3.525,5.152,2,0.076
WS,A1 LM,CHURCHMAN BIBLE,2970.5,55.156,1.25,0.731,4.445,4.875,2,0.065
PS,A1 LM,CHURCHMAN BIBLE,2971.0,55.156,1.25,0.731,4.445,4.875,2,0.065
PS,A1 LM,CHURCHMAN BIBLE,2971.5,52.25,1.299,0.729,5.472,4.863,2,0.054
WS,A1 LM,CHURCHMAN BIBLE,2972.0,57.844,1.308,0.687,6.686,4.457,2,0.043
PS,A1 LM,CHURCHMAN BIBLE,2972.5,61.844,1.222,0.809,6.125,4.773,2,0.033
PS,A1 LM,CHURCHMAN BIBLE,2973.0,70.188,1.048,2.187,7.041,3.217,2,0.022
MS,A1 LM,CHURCHMAN BIBLE,2973.5,71.938,0.864,4.158,14.152,2.467,2,0.011
FSiS,B1 SH,CHURCHMAN BIBLE,2974.0,74.563,0.779,-0.666,32.404,2.168,1,1.0
FSiS,B1 SH,CHURCHMAN BIBLE,2974.5,72.688,0.727,0.793,40.027,2.037,1,0.958
FSiS,B1 SH,CHURCHMAN BIBLE,2975.0,77.438,0.705,-1.06,42.174,1.941,1,0.917
FSiS,B1 SH,CHURCHMAN BIBLE,2975.5,80.813,0.695,-1.309,41.299,1.888,1,0.875
FSiS,B1 SH,CHURCHMAN BIBLE,2976.0,82.875,0.672,-2.435,42.571,1.802,1,0.833
FSiS,B1 SH,CHURCHMAN BIBLE,2976.5,80.813,0.657,-5.069,38.223,2.248,1,0.792
FSiS,B1 SH,CHURCHMAN BIBLE,2977.0,71.75,0.661,-3.162,27.967,3.102,1,0.75
FSiS,B1 SH,CHURCHMAN BIBLE,2977.5,64.313,0.689,-1.192,18.282,3.488,1,0.708
CSiS,B1 SH,CHURCHMAN BIBLE,2978.0,60.563,0.818,3.299,9.983,3.334,1,0.625
CSiS,B1 SH,CHURCHMAN BIBLE,2978.5,65.688,0.886,2.794,9.022,3.25,1,0.583
CSiS,B1 SH,CHURCHMAN BIBLE,2979.0,59.125,0.89,2.077,9.446,3.025,1,0.542
CSiS,B1 SH,CHURCHMAN BIBLE,2979.5,57.563,0.868,1.903,10.646,2.709,1,0.5
CSiS,B1 SH,CHURCHMAN BIBLE,2980.0,54.156,0.821,1.138,11.021,2.934,1,0.458
CSiS,B1 SH,CHURCHMAN BIBLE,2980.5,60.719,0.752,3.491,12.573,2.34,1,0.417
CSiS,B1 SH,CHURCHMAN BIBLE,2981.0,64.0,0.694,5.213,23.547,1.968,1,0.375
CSiS,B1 SH,CHURCHMAN BIBLE,2981.5,68.063,0.675,-1.635,38.745,1.75,1,0.333
CSiS,B1 SH,CHURCHMAN BIBLE,2982.0,66.688,0.646,-3.951,40.768,1.666,1,0.292
CSiS,B1 SH,CHURCHMAN BIBLE,2982.5,65.125,0.608,-9.25,33.469,2.354,1,0.25
CSiS,B1 SH,CHURCHMAN BIBLE,2983.0,61.375,0.563,-1.914,21.104,3.387,1,0.208
CSiS,B1 SH,CHURCHMAN BIBLE,2983.5,62.125,0.51,3.503,16.468,3.209,1,0.167
CSiS,B1 SH,CHURCHMAN BIBLE,2984.0,67.438,0.495,7.9,19.151,2.902,1,0.125
CSiS,B1 SH,CHURCHMAN BIBLE,2984.5,65.313,0.52,7.18,27.683,2.648,1,0.083
MS,B1 LM,CHURCHMAN BIBLE,2985.0,60.219,0.545,3.448,27.606,2.652,1,0.042
D,B1 LM,CHURCHMAN BIBLE,2985.5,46.75,0.577,-1.737,21.854,3.076,2,1.0
PS,B1 LM,CHURCHMAN BIBLE,2986.0,38.688,0.618,-2.896,11.783,3.871,2,0.969
PS,B1 LM,CHURCHMAN BIBLE,2986.5,26.547,0.657,-2.215,6.756,4.312,2,0.938
PS,B1 LM,CHURCHMAN BIBLE,2987.0,21.375,0.713,0.709,3.393,4.363,2,0.906
PS,B1 LM,CHURCHMAN BIBLE,2987.5,23.234,0.801,-0.468,5.643,4.492,2,0.875
PS,B1 LM,CHURCHMAN BIBLE,2988.0,29.125,0.905,1.12,6.546,4.891,2,0.844
PS,B1 LM,CHURCHMAN BIBLE,2988.5,32.938,0.996,1.335,8.821,4.641,2,0.813
PS,B1 LM,CHURCHMAN BIBLE,2989.0,33.094,1.023,2.804,8.231,4.363,2,0.781
PS,B1 LM,CHURCHMAN BIBLE,2989.5,27.703,0.995,3.242,8.33,4.0,2,0.75
PS,B1 LM,CHURCHMAN BIBLE,2990.0,27.672,0.929,2.739,7.71,4.219,2,0.719
PS,B1 LM,CHURCHMAN BIBLE,2990.5,28.172,0.851,1.696,7.924,4.242,2,0.688
PS,B1 LM,CHURCHMAN BIBLE,2991.0,32.469,0.799,0.865,8.461,4.391,2,0.656
WS,B1 LM,CHURCHMAN BIBLE,2991.5,37.656,0.781,2.169,8.28,3.863,2,0.625
WS,B1 LM,CHURCHMAN BIBLE,2992.0,43.531,0.783,4.538,8.597,3.352,2,0.594
WS,B1 LM,CHURCHMAN BIBLE,2992.5,51.219,0.793,4.914,8.172,3.195,2,0.563
WS,B1 LM,CHURCHMAN BIBLE,2993.0,60.719,0.801,3.895,7.726,3.359,2,0.531
WS,B1 LM,CHURCHMAN BIBLE,2993.5,63.031,0.803,1.46,6.548,3.949,2,0.5
WS,B1 LM,CHURCHMAN BIBLE,2994.0,65.125,0.814,0.241,5.668,4.078,2,0.469
WS,B1 LM,CHURCHMAN BIBLE,2994.5,57.625,0.842,-0.878,6.151,4.164,2,0.438
WS,B1 LM,CHURCHMAN BIBLE,2995.0,60.281,0.895,-0.494,5.962,4.375,2,0.406
WS,B1 LM,CHURCHMAN BIBLE,2995.5,75.125,0.969,0.257,6.14,4.477,2,0.375
PS,B1 LM,CHURCHMAN BIBLE,2996.0,97.313,0.995,1.975,6.033,4.738,2,0.344
PS,B1 LM,CHURCHMAN BIBLE,2996.5,100.375,1.002,1.5,8.412,4.445,2,0.313
PS,B1 LM,CHURCHMAN BIBLE,2997.0,89.25,1.006,1.408,9.578,4.27,2,0.281
PS,B1 LM,CHURCHMAN BIBLE,2997.5,72.063,0.988,2.224,10.276,4.246,2,0.25
PS,B1 LM,CHURCHMAN BIBLE,2998.0,72.625,0.968,3.323,9.323,4.144,2,0.219
PS,B1 LM,CHURCHMAN BIBLE,2998.5,73.813,0.934,4.188,9.387,4.187,2,0.188
PS,B1 LM,CHURCHMAN BIBLE,2999.0,78.0,0.887,3.038,9.266,4.144,2,0.156
PS,B1 LM,CHURCHMAN BIBLE,2999.5,96.813,0.825,2.094,8.55,4.578,2,0.125
PS,B1 LM,CHURCHMAN BIBLE,3000.0,145.75,0.755,1.651,10.849,2.908,2,0.094
FSiS,B2 SH,CHURCHMAN BIBLE,3000.5,207.125,0.707,-0.923,22.896,2.35,2,0.063
FSiS,B2 SH,CHURCHMAN BIBLE,3001.0,221.125,0.664,-9.69,39.427,2.043,2,0.031
FSiS,B2 SH,CHURCHMAN BIBLE,3001.5,183.375,0.61,-9.88,45.231,1.927,1,1.0
FSiS,B2 SH,CHURCHMAN BIBLE,3002.0,124.438,0.558,-7.337,46.692,2.15,1,0.917
FSiS,B2 SH,CHURCHMAN BIBLE,3002.5,93.438,0.516,2.671,42.934,2.004,1,0.833
FSiS,B2 SH,CHURCHMAN BIBLE,3003.0,81.625,0.492,6.728,44.249,1.641,1,0.75
FSiS,B2 SH,CHURCHMAN BIBLE,3003.5,78.813,0.505,2.318,48.464,1.465,1,0.667
FSiS,B2 SH,CHURCHMAN BIBLE,3004.0,74.5,0.535,-8.228,52.369,1.513,1,0.583
FSiS,B2 SH,CHURCHMAN BIBLE,3004.5,75.563,0.548,-16.331,46.605,1.741,1,0.5
FSiS,B2 SH,CHURCHMAN BIBLE,3005.0,69.438,0.556,-18.252,40.175,2.879,1,0.417
FSiS,B2 SH,CHURCHMAN BIBLE,3005.5,63.063,0.638,5.584,32.941,2.285,1,0.25
D,B2 SH,CHURCHMAN BIBLE,3006.0,67.5,0.696,-1.373,37.75,2.102,1,0.167
FSiS,B2 SH,CHURCHMAN BIBLE,3006.5,64.938,0.771,-9.77,34.037,2.199,1,0.083
MS,B2 LM,CHURCHMAN BIBLE,3007.0,60.281,0.828,-10.539,24.016,3.854,2,1.0
MS,B2 LM,CHURCHMAN BIBLE,3007.5,48.844,0.84,-3.23,16.706,4.781,2,0.967
PS,B2 LM,CHURCHMAN BIBLE,3008.0,39.156,0.852,2.505,11.704,4.871,2,0.933
PS,B2 LM,CHURCHMAN BIBLE,3008.5,31.453,0.872,1.34,12.82,4.742,2,0.9
PS,B2 LM,CHURCHMAN BIBLE,3009.0,27.031,0.883,0.933,12.641,4.578,2,0.867
BS,B2 LM,CHURCHMAN BIBLE,3009.5,31.453,0.899,0.99,12.242,4.52,2,0.833
BS,B2 LM,CHURCHMAN BIBLE,3010.0,37.844,0.895,1.105,12.128,4.727,2,0.8
BS,B2 LM,CHURCHMAN BIBLE,3010.5,43.313,0.898,0.916,12.512,4.687,2,0.767
BS,B2 LM,CHURCHMAN BIBLE,3011.0,41.906,0.891,0.793,13.074,4.594,2,0.733
BS,B2 LM,CHURCHMAN BIBLE,3011.5,35.063,0.878,0.492,13.229,4.867,2,0.7
BS,B2 LM,CHURCHMAN BIBLE,3012.0,32.531,0.867,-0.022,12.376,4.93,2,0.667
BS,B2 LM,CHURCHMAN BIBLE,3012.5,30.906,0.85,-1.111,11.17,5.352,2,0.633
BS,B2 LM,CHURCHMAN BIBLE,3013.0,32.188,0.821,-1.42,9.721,4.961,2,0.6
BS,B2 LM,CHURCHMAN BIBLE,3013.5,34.281,0.778,-1.263,9.076,5.012,2,0.567
BS,B2 LM,CHURCHMAN BIBLE,3014.0,40.844,0.724,-0.57,8.284,4.652,2,0.533
WS,B2 LM,CHURCHMAN BIBLE,3014.5,52.75,0.68,0.108,8.388,3.912,2,0.5
WS,B2 LM,CHURCHMAN BIBLE,3015.0,68.125,0.62,1.744,8.656,3.065,2,0.467
WS,B2 LM,CHURCHMAN BIBLE,3015.5,96.063,0.504,4.265,11.75,2.76,2,0.433
D,B2 LM,CHURCHMAN BIBLE,3016.0,119.438,0.383,5.89,15.545,2.656,2,0.4
D,B2 LM,CHURCHMAN BIBLE,3016.5,131.875,0.339,6.374,19.456,2.926,2,0.367
D,B2 LM,CHURCHMAN BIBLE,3017.0,124.563,0.277,5.916,20.939,3.053,2,0.333
D,B2 LM,CHURCHMAN BIBLE,3017.5,100.625,0.224,5.712,21.876,3.297,2,0.3
D,B2 LM,CHURCHMAN BIBLE,3018.0,83.313,0.194,5.443,22.291,3.348,2,0.267
D,B2 LM,CHURCHMAN BIBLE,3018.5,72.563,0.192,3.586,20.095,3.363,2,0.233
D,B2 LM,CHURCHMAN BIBLE,3019.0,93.125,0.208,1.204,16.227,3.857,2,0.2
D,B2 LM,CHURCHMAN BIBLE,3019.5,117.75,0.237,0.16,12.096,3.961,2,0.167
MS,B2 LM,CHURCHMAN BIBLE,3020.0,131.875,0.29,1.229,11.223,3.775,2,0.133
WS,B2 LM,CHURCHMAN BIBLE,3020.5,124.25,0.341,3.054,11.106,3.232,2,0.1
PS,B2 LM,CHURCHMAN BIBLE,3021.0,106.25,0.401,3.396,10.764,2.981,2,0.067
FSiS,B3 SH,CHURCHMAN BIBLE,3021.5,87.875,0.5,3.797,9.68,3.201,2,0.033
FSiS,B3 SH,CHURCHMAN BIBLE,3022.0,74.938,0.587,3.314,11.139,3.215,1,1.0
FSiS,B3 SH,CHURCHMAN BIBLE,3022.5,67.625,0.633,3.947,13.485,2.94,1,0.929
CSiS,B3 SH,CHURCHMAN BIBLE,3023.0,72.313,0.645,4.261,15.173,2.699,1,0.857
CSiS,B3 SH,CHURCHMAN BIBLE,3023.5,70.5,0.653,3.445,15.842,2.647,1,0.786
CSiS,B3 SH,CHURCHMAN BIBLE,3024.0,70.188,0.649,3.398,14.082,2.91,1,0.714
CSiS,B3 SH,CHURCHMAN BIBLE,3024.5,66.25,0.639,3.774,13.657,2.963,1,0.643
CSiS,B3 SH,CHURCHMAN BIBLE,3025.0,66.813,0.635,3.915,11.173,2.945,1,0.571
CSiS,B3 SH,CHURCHMAN BIBLE,3025.5,66.875,0.617,2.883,10.252,3.205,1,0.5
CSiS,B3 SH,CHURCHMAN BIBLE,3026.0,71.438,0.624,2.114,12.681,3.123,1,0.429
CSiS,B3 SH,CHURCHMAN BIBLE,3026.5,83.688,0.651,-0.804,26.781,2.606,1,0.357
CSiS,B3 SH,CHURCHMAN BIBLE,3027.0,85.0,0.681,-3.342,36.008,2.4,1,0.286
CSiS,B3 SH,CHURCHMAN BIBLE,3027.5,85.0,0.681,-3.342,36.008,2.4,1,0.286
CSiS,B3 SH,CHURCHMAN BIBLE,3028.0,79.313,0.72,-7.159,36.7,2.258,1,0.214
FSiS,B3 SH,CHURCHMAN BIBLE,3028.5,60.906,0.75,-8.424,27.272,3.275,1,0.143
PS,B3 LM,CHURCHMAN BIBLE,3029.0,47.0,0.757,-4.656,18.133,3.836,1,0.071
PS,B3 LM,CHURCHMAN BIBLE,3029.5,31.391,0.772,0.388,11.868,4.023,2,1.0
WS,B3 LM,CHURCHMAN BIBLE,3030.0,26.578,0.81,1.211,10.41,4.207,2,0.929
WS,B3 LM,CHURCHMAN BIBLE,3030.5,24.75,0.871,0.838,10.148,4.508,2,0.857
PS,B3 LM,CHURCHMAN BIBLE,3031.0,28.094,0.912,1.891,8.803,5.105,2,0.786
WS,B3 LM,CHURCHMAN BIBLE,3031.5,34.656,0.925,1.728,8.868,4.844,2,0.714
D,B3 LM,CHURCHMAN BIBLE,3032.0,39.969,0.926,0.987,9.267,4.445,2,0.643
D,B3 LM,CHURCHMAN BIBLE,3032.5,41.5,0.914,0.251,9.222,4.379,2,0.571
D,B3 LM,CHURCHMAN BIBLE,3033.0,33.5,0.898,0.09,8.26,4.668,2,0.5
D,B3 LM,CHURCHMAN BIBLE,3033.5,32.625,0.904,2.719,4.947,5.113,2,0.429
WS,B3 LM,CHURCHMAN BIBLE,3034.0,36.531,0.912,2.443,3.758,4.746,2,0.357
WS,B3 LM,CHURCHMAN BIBLE,3034.5,43.281,0.907,2.948,3.351,4.379,2,0.286
PS,B3 LM,CHURCHMAN BIBLE,3035.0,53.813,0.895,1.993,5.478,4.066,2,0.214
PS,B3 LM,CHURCHMAN BIBLE,3035.5,61.281,0.864,3.033,6.635,3.598,2,0.143
CSiS,B4 SH,CHURCHMAN BIBLE,3036.0,69.5,0.837,2.843,8.387,3.268,2,0.071
CSiS,B4 SH,CHURCHMAN BIBLE,3036.5,66.563,0.811,3.072,9.184,3.188,1,1.0
CSiS,B4 SH,CHURCHMAN BIBLE,3037.0,69.688,0.778,3.549,10.806,3.143,1,0.938
CSiS,B4 SH,CHURCHMAN BIBLE,3037.5,74.938,0.757,4.616,12.669,3.092,1,0.875
CSiS,B4 SH,CHURCHMAN BIBLE,3038.0,82.188,0.745,4.885,12.937,2.996,1,0.813
CSiS,B4 SH,CHURCHMAN BIBLE,3038.5,76.125,0.743,3.581,11.751,3.016,1,0.75
CSiS,B4 SH,CHURCHMAN BIBLE,3039.0,69.875,0.746,2.844,9.412,3.055,1,0.688
CSiS,B4 SH,CHURCHMAN BIBLE,3039.5,65.438,0.743,2.723,8.606,3.209,1,0.625
CSiS,B4 SH,CHURCHMAN BIBLE,3040.0,68.938,0.735,3.213,8.067,3.191,1,0.563
CSiS,B4 SH,CHURCHMAN BIBLE,3040.5,70.875,0.733,2.796,8.679,3.332,1,0.5
CSiS,B4 SH,CHURCHMAN BIBLE,3041.0,75.375,0.714,2.46,8.917,3.236,1,0.438
FSiS,B4 SH,CHURCHMAN BIBLE,3041.5,76.938,0.687,3.565,10.595,2.854,1,0.375
FSiS,B4 SH,CHURCHMAN BIBLE,3042.0,82.188,0.686,3.887,20.624,2.342,1,0.313
FSiS,B4 SH,CHURCHMAN BIBLE,3042.5,81.688,0.705,-1.003,35.378,2.123,1,0.25
PS,B4 LM,CHURCHMAN BIBLE,3044.0,49.438,0.752,-8.496,19.434,4.785,1,0.063
PS,B4 LM,CHURCHMAN BIBLE,3044.5,34.375,0.772,-1.453,12.196,5.039,2,1.0
